GeoName,GeoFips_n,GDP_2018_n,rank,impact_4wk,impact_contribution,cases_4wk_growth,impact_4wk_normal,cases_4wk_growth_normal,county_name,lat,lng
"Westchester, NY",36119,73404644,48,13.78958669,0.005167948,-0.123048669,0.029076071,0.048161967,Westchester,41.11266296,-73.79481111
"Palm Beach, FL",12099,72270528,49,21.47467118,0.008048101,0.744047016,0.049083707,0.204537538,Palm Beach,26.68385517,-80.16046379
"St. Louis, MO",29189,71640132,50,10.97629165,0.004113605,2.952941176,0.021751834,0.602898517,St. Louis,38.65542222,-90.35906768
"Wake, NC",37183,70297010,51,15.8670394,0.005946519,0.377986577,0.034484589,0.138520706,Wake,35.78404167,-78.63304167
"Denver, CO",8031,70054379,52,18.43931333,0.006910535,0.966074313,0.041181343,0.244578846,Denver,39.7621,-104.8759
"Montgomery, PA",42091,69918251,53,13.13464287,0.004922494,0.191634241,0.027370966,0.104913166,Montgomery,40.18510536,-75.33968929
"Hamilton, OH",39061,66977577,54,9.472543033,0.003550042,0.039817232,0.017836919,0.077533867,Hamilton,39.19961548,-84.50762262
"Bergen, NJ",34003,66148892,55,18.14369609,0.006799746,-0.352256186,0.040411722,0.006825748,Bergen,40.92987705,-74.04464262
"Oklahoma, OK",40109,64803045,56,5.369395157,0.002012298,1.785781991,0.00715463,0.392408271,Oklahoma,35.523325,-97.427055
"Davidson, TN",47037,63848008,57,13.49929312,0.005059154,0.747015856,0.02832031,0.205072951,Davidson,36.14363333,-86.78943333
"Honolulu, HI",15003,61095819,58,18.54694505,0.006950872,2.768976898,0.041461556,0.569721649,Honolulu,21.43842745,-157.9801412
"Lake, IL",17097,60106642,59,6.096530831,0.002284808,0.70994941,0.009047682,0.198388237,Lake,42.31437593,-88.00333519
"Collin, TX",48085,59917532,60,11.89790993,0.004459001,0.389585342,0.024151209,0.140612474,Collin,33.16444167,-96.57277083
"Multnomah, OR",41051,59722160,61,17.04214494,0.006386915,0.625726141,0.037543903,0.183199069,Multnomah,45.53533333,-122.4846833
"Duval, FL",12031,59046312,62,9.700465543,0.003635461,0.615616008,0.018430301,0.181375766,Duval,30.31382,-81.57568
"Middlesex, NJ",34023,58319626,63,15.85044121,0.005940298,-0.110867179,0.034441377,0.050358826,Middlesex,40.46077027,-74.39646486
"Shelby, TN",47157,57633301,64,6.792496189,0.002545636,0.659516973,0.010859585,0.189293045,Shelby,35.18874286,-89.79657143
"Milwaukee, WI",55079,54269233,65,8.198530557,0.003072578,1.20023488,0.014520107,0.286808317,Milwaukee,43.03163684,-87.94723158
"Ventura, CA",6111,53439240,66,14.33316759,0.005371667,0.733221477,0.03049125,0.202585216,Ventura,34.27756522,-119.0179957
"Morris, NJ",34027,52564871,67,14.24883467,0.005340061,-0.035714286,0.030271695,0.063912205,Morris,40.87208,-74.519616
"Essex, NJ",34013,52311173,68,12.21839541,0.00457911,-0.390104662,0.024985573,0,Essex,40.80367273,-74.23671818
"Erie, NY",36029,51595428,69,6.504709316,0.002437782,0.109201213,0.010110349,0.090046857,Erie,42.82315143,-78.77471714
"Norfolk, MA",25021,51010895,70,7.578761543,0.002840306,0.910714286,0.012906577,0.234594993,Norfolk,42.19119,-71.18435
"Kern, CA",6029,49864234,71,9.634482355,0.003610732,5.154851485,0.018258517,1,Kern,35.30797966,-118.8005949
"Jefferson, KY",21111,49831577,72,7.456939558,0.002794651,2.125126135,0.012589421,0.453606977,Jefferson,38.25105952,-85.62198095
"Baltimore, MD",24005,48916032,73,6.900654514,0.002586171,1.533203125,0.011141168,0.346857168,Baltimore,39.35919032,-76.60295806
"New Haven, CT",9009,48060270,74,3.656013396,0.001370171,0.08777969,0.002693948,0.086183613,New Haven,41.36292778,-72.93159444
"Washington, OR",41067,47541712,75,8.43865388,0.00316257,0.578680203,0.015145253,0.174714613,Washington,45.485875,-122.867025
"Pinellas, FL",12103,46894199,76,11.15412019,0.00418025,0.161838162,0.022214799,0.099539619,Pinellas,27.88412703,-82.76078649
"Tulsa, OK",40143,46158530,77,3.775108346,0.001414804,0.761854584,0.003004004,0.207749027,Tulsa,36.11327692,-95.96686154
"Baltimore (Independent City), MD",24510,45594014,78,9.265354988,0.003472394,1.205988024,0.017297517,0.287845863,Baltimore,39.3051,-76.6144
"Cobb, GA",13067,45417267,79,7.315424078,0.002741615,1.364288561,0.012220995,0.316394427,Cobb,33.9087,-84.58395556
"Anne Arundel, MD",24003,45313225,80,7.298665884,0.002735334,0.658203125,0.012177366,0.189056101,Anne Arundel,39.03004688,-76.58708438
"Hudson, NJ",34017,44690400,81,10.08726171,0.003780421,-0.070934256,0.0194373,0.057560492,Hudson,40.75011,-74.07581
"Gwinnett, GA",13135,44198573,82,5.856310923,0.00219478,0.563112392,0.008422285,0.17190705,Gwinnett,33.97985714,-84.07019286
"Arapahoe, CO",8005,44037874,83,5.992296426,0.002245744,1.30125523,0.008776315,0.305026739,Arapahoe,39.63799091,-104.7185773
"Monroe, NY",36055,43857509,84,6.813577291,0.002553537,0.068152031,0.010914468,0.082643881,Monroe,43.15915556,-77.68593889
"Fresno, CA",6019,43436946,85,10.30076148,0.003860435,1.341524574,0.019993133,0.312289077,Fresno,36.67096364,-119.7941205
"Johnson, KS",20091,43264041,86,6.335091718,0.002374214,1.26798419,0.009668761,0.299026504,Johnson,38.95925263,-94.73113684
"Essex, MA",25009,43173489,87,2.621247546,0.00098237,0.091610415,0,0.086874461,Essex,42.6274125,-70.9325625
"Bronx, NY",36005,42695638,88,7.060028712,0.0026459,0.071469741,0.011556089,0.08324221,Bronx,40.8501,-73.8662
"New Castle, DE",10003,42517640,89,5.937284729,0.002225127,0.106927711,0.008633095,0.089636845,New Castle,39.68352,-75.617992
"Jackson, MO",29095,42122646,90,5.701601012,0.002136799,2.132330827,0.008019507,0.454906301,Jackson,39.02268889,-94.31605556
"Chester, PA",42029,41947957,91,8.644275425,0.003239631,0.431081081,0.015680576,0.148095985,Chester,39.99574242,-75.71976061
"Prince George's, MD",24033,41879165,92,4.576794461,0.001715254,0.756076005,0.005091144,0.206706895,Prince George's,38.88162875,-76.87908125
"Jefferson, AL",1073,41774355,93,7.504464488,0.002812462,1.059337914,0.012713149,0.261398384,Jefferson,33.57037442,-86.85350698
"Dane, WI",55025,41137645,94,10.82801584,0.004058035,0.175097276,0.021365807,0.101930822,Dane,43.078388,-89.415692
"Douglas, NE",31055,41051019,95,4.207729448,0.001576938,0.195302843,0.004130306,0.105574776,Douglas,41.2800125,-96.209825
"Worcester, MA",25027,40731879,96,4.247753096,0.001591938,0.194263364,0.004234505,0.105387312,Worcester,42.32609412,-71.88203529
"Pima, AZ",4019,40011352,97,10.43153106,0.003909444,0.078338188,0.020333584,0.084480894,Pima,32.11779808,-111.4995135
"Pierce, WA",53053,39615989,98,4.456798763,0.001670283,1.910648715,0.004778743,0.414927245,Pierce,47.1620338,-122.4062268
"Ramsey, MN",27123,39057292,99,7.867254531,0.002948425,0.488130564,0.013657651,0.158384521,Ramsey,45.03864,-93.11223333
"Snohomish, WA",53061,39010008,100,3.942797237,0.001477649,1.210749646,0.003440572,0.288704593,Snohomish,47.97273939,-122.1066636
